Algorithm,Avg_Expansions_Reduction,Avg_Path_Cost_Increase,Std_Path_Cost_Increase,Optimal_Paths,Total_Queries
Weighted A* ε=1.5,82.1981365925149,0.35670351135279604,1.34281058883295,87,100
Weighted A* ε=3.0,86.2695240045671,1.2198865108898622,3.559616818809972,81,100
Potential Search,78.99069840166455,0.48604778825459627,1.4952175086988606,89,100
Multi-Heuristic A*,-402.94430387629325,-1.0586454953432762e-15,3.901973265251938e-15,100,100
mse_vanilla.pth A*,81.82855901468994,0.4773860491195807,1.9888244347056272,87,100
mse_vanilla.pth Focal A* ε=1.5,85.10644259195098,0.4773860491195807,1.9888244347056272,87,100
2d_vanilla_05_8_custom.pth A*,80.81344646703208,0.5068172439620808,1.9922422164762819,85,100
2d_vanilla_05_8_custom.pth Focal A* ε=1.5,83.65956488749671,0.5068172439620808,1.9922422164762819,85,100
vanilla_05_8_custom.pth A*,82.76022585267903,0.3481377125863254,1.3687405706794926,88,100
vanilla_05_8_custom.pth Focal A* ε=1.5,85.44825126180147,0.34813771258632525,1.368740570679492,88,100
model_epoch_20.pth A*,82.69859674973709,0.37677176539918067,1.5660389152440994,83,100
model_epoch_20.pth Focal A* ε=1.5,85.43354883728645,0.37677176539918067,1.5660389152440994,83,100
